score;method
0,89;UMLS-SemTypes
0,72;UMLS-CUIs
0,78;UMLS-CUIs
0,53;UMLS-CUIs
0,63;UMLS-CUIs
0,65;UMLS-CUIs
0,20;UMLS-CUIs
0,75;UMLS-CUIs
0,38;UMLS-CUIs
0,25;UMLS-CUIs
0,79;UMLS-CUIs
0,68;UMLS-CUIs
0,77;UMLS-CUIs
0,61;UMLS-CUIs
0,46;UMLS-CUIs
0,54;UMLS-CUIs
0,25;UMLS-CUIs
0,67;UMLS-CUIs
0,46;UMLS-CUIs
0,70;UMLS-CUIs
0,85;UMLS-CUIs
0,00;UMLS-CUIs
0,67;UMLS-CUIs
0,60;UMLS-CUIs
0,40;UMLS-CUIs
0,62;UMLS-CUIs
0,53;UMLS-CUIs
0,87;UMLS-CUIs
0,60;UMLS-CUIs
0,60;UMLS-CUIs
0,28;UMLS-CUIs
0,69;UMLS-CUIs
0,66;UMLS-CUIs
0,45;UMLS-CUIs
0,47;UMLS-CUIs
0,61;UMLS-CUIs
0,20;UMLS-CUIs
0,45;UMLS-CUIs
0,71;UMLS-CUIs
0,62;UMLS-CUIs
0,65;UMLS-CUIs
0,55;UMLS-CUIs
0,85;UMLS-CUIs
0,25;UMLS-CUIs
0,40;UMLS-CUIs
0,87;UMLS-CUIs
0,72;UMLS-CUIs
0,33;UMLS-CUIs
0,32;UMLS-CUIs
0,90;UMLS-CUIs
0,83;UMLS-CUIs
0,68;UMLS-CUIs
0,51;UMLS-CUIs
0,77;UMLS-CUIs
0,70;UMLS-CUIs
0,80;UMLS-CUIs
0,67;UMLS-CUIs
0,20;UMLS-CUIs
0,77;UMLS-CUIs
0,44;UMLS-CUIs
0,80;UMLS-CUIs
0,68;UMLS-CUIs
0,65;UMLS-CUIs
0,73;UMLS-CUIs
0,58;UMLS-CUIs
0,19;UMLS-CUIs
0,77;UMLS-CUIs
0,72;UMLS-CUIs
0,78;UMLS-CUIs
0,72;UMLS-CUIs
0,68;UMLS-CUIs
0,66;UMLS-CUIs
0,41;UMLS-CUIs
0,31;UMLS-CUIs
0,53;UMLS-CUIs
0,54;UMLS-CUIs
0,79;UMLS-CUIs
0,56;UMLS-CUIs
0,55;UMLS-CUIs
0,79;UMLS-CUIs
0,76;UMLS-CUIs
0,60;UMLS-CUIs
0,44;UMLS-CUIs
0,74;UMLS-CUIs
0,83;UMLS-CUIs
0,52;UMLS-CUIs
0,94;UMLS-CUIs
0,37;UMLS-CUIs
0,72;UMLS-CUIs
0,51;UMLS-CUIs
0,40;UMLS-CUIs
0,75;UMLS-CUIs
0,47;UMLS-CUIs
0,52;UMLS-CUIs
0,64;UMLS-CUIs
0,44;UMLS-CUIs
0,38;UMLS-CUIs
0,72;UMLS-CUIs
0,78;UMLS-CUIs
0,67;UMLS-CUIs
0,65;UMLS-CUIs
0,65;UMLS-CUIs
0,70;UMLS-CUIs
0,30;UMLS-CUIs
0,30;UMLS-CUIs
0,88;UMLS-CUIs
0,60;UMLS-CUIs
0,77;UMLS-CUIs
0,85;UMLS-CUIs
0,77;UMLS-CUIs
0,61;UMLS-CUIs
0,37;UMLS-CUIs
0,00;UMLS-CUIs
0,90;UMLS-CUIs
0,63;UMLS-CUIs
0,87;UMLS-CUIs
0,28;UMLS-CUIs
0,74;UMLS-CUIs
0,32;UMLS-CUIs
0,89;UMLS-CUIs
0,71;UMLS-CUIs
0,50;UMLS-CUIs
0,68;UMLS-CUIs
0,70;UMLS-CUIs
0,71;UMLS-CUIs
0,58;UMLS-CUIs
0,66;UMLS-CUIs
0,69;UMLS-CUIs
0,84;UMLS-CUIs
0,62;UMLS-CUIs
0,32;UMLS-CUIs
0,52;UMLS-CUIs
0,22;UMLS-CUIs
0,82;UMLS-CUIs
0,61;UMLS-CUIs
0,73;UMLS-CUIs
0,72;UMLS-CUIs
0,67;UMLS-CUIs
0,69;UMLS-CUIs
0,78;UMLS-CUIs
0,00;UMLS-CUIs
0,78;UMLS-CUIs
0,58;UMLS-CUIs
0,73;UMLS-CUIs
0,28;UMLS-CUIs
0,80;UMLS-CUIs
0,35;UMLS-CUIs
0,45;UMLS-CUIs
0,53;UMLS-CUIs
0,53;UMLS-CUIs
0,35;UMLS-CUIs
0,70;UMLS-CUIs
0,77;UMLS-CUIs
0,90;UMLS-CUIs
0,66;UMLS-CUIs
0,52;UMLS-CUIs
0,67;UMLS-CUIs
0,73;UMLS-CUIs
0,40;UMLS-CUIs
0,78;UMLS-CUIs
0,77;UMLS-CUIs
0,42;UMLS-CUIs
0,54;UMLS-CUIs
0,69;UMLS-CUIs
0,57;UMLS-CUIs
0,70;UMLS-CUIs
0,36;UMLS-CUIs
0,38;UMLS-CUIs
0,85;UMLS-CUIs
0,93;UMLS-CUIs
0,47;UMLS-CUIs
0,59;UMLS-CUIs
0,63;UMLS-CUIs
0,88;UMLS-CUIs
0,39;UMLS-CUIs
0,78;UMLS-CUIs
0,42;UMLS-CUIs
0,85;UMLS-CUIs
0,76;UMLS-CUIs
0,80;UMLS-CUIs
0,52;UMLS-CUIs
0,48;UMLS-CUIs
0,67;UMLS-CUIs
0,44;UMLS-CUIs
0,33;UMLS-CUIs
0,69;UMLS-CUIs
0,65;UMLS-CUIs
0,66;UMLS-CUIs
0,53;UMLS-CUIs
0,85;UMLS-CUIs
0,36;UMLS-CUIs
0,59;UMLS-CUIs
0,67;UMLS-CUIs
0,67;UMLS-CUIs
0,46;UMLS-CUIs
0,82;UMLS-CUIs
0,79;UMLS-CUIs
0,84;UMLS-CUIs
0,60;UMLS-CUIs
0,67;UMLS-CUIs
0,60;UMLS-CUIs
0,60;UMLS-CUIs
0,67;UMLS-CUIs
0,72;UMLS-CUIs
0,63;UMLS-CUIs
0,87;UMLS-CUIs
0,82;UMLS-CUIs
0,72;UMLS-CUIs
0,83;UMLS-CUIs
0,87;UMLS-CUIs
0,56;UMLS-CUIs
0,73;UMLS-CUIs
0,75;UMLS-CUIs
0,60;UMLS-CUIs
0,74;UMLS-CUIs
0,90;UMLS-CUIs
0,78;UMLS-CUIs
0,82;UMLS-CUIs
0,40;UMLS-CUIs
0,50;UMLS-CUIs
0,88;UMLS-CUIs
0,65;UMLS-CUIs
0,86;UMLS-CUIs
0,35;UMLS-CUIs
0,72;UMLS-CUIs
0,80;UMLS-CUIs
0,36;UMLS-CUIs
0,87;UMLS-CUIs
0,80;UMLS-CUIs
0,75;UMLS-CUIs
0,64;UMLS-CUIs
0,42;UMLS-CUIs
0,67;UMLS-CUIs
0,45;UMLS-CUIs
0,77;UMLS-CUIs
0,76;UMLS-CUIs
0,70;UMLS-CUIs
0,88;UMLS-CUIs
0,72;UMLS-CUIs
0,68;UMLS-CUIs
0,78;UMLS-CUIs
0,87;UMLS-CUIs
0,89;UMLS-CUIs
0,87;UMLS-CUIs
0,85;UMLS-CUIs
0,70;UMLS-CUIs
0,82;UMLS-CUIs
0,75;UMLS-CUIs
0,60;UMLS-CUIs
0,91;UMLS-CUIs
0,83;UMLS-CUIs
0,76;UMLS-CUIs
0,88;UMLS-CUIs
0,73;UMLS-CUIs
0,55;UMLS-CUIs
0,49;UMLS-CUIs
0,85;UMLS-CUIs
0,48;UMLS-CUIs
0,53;UMLS-CUIs
0,90;UMLS-CUIs
0,45;UMLS-CUIs
0,64;UMLS-CUIs
0,68;UMLS-CUIs
0,69;UMLS-CUIs
0,49;UMLS-CUIs
0,50;UMLS-CUIs
0,47;UMLS-CUIs
0,87;UMLS-CUIs
0,85;UMLS-CUIs
0,46;UMLS-CUIs
0,72;UMLS-CUIs
0,70;UMLS-CUIs
0,55;UMLS-CUIs
0,60;UMLS-CUIs
0,60;UMLS-CUIs
0,52;UMLS-CUIs
0,79;UMLS-CUIs
0,82;UMLS-CUIs
0,72;UMLS-CUIs
0,00;UMLS-CUIs
0,60;UMLS-CUIs
0,71;UMLS-CUIs
0,63;UMLS-CUIs
0,74;UMLS-CUIs
0,65;UMLS-CUIs
0,60;UMLS-CUIs
0,65;UMLS-CUIs
0,81;UMLS-CUIs
0,67;UMLS-CUIs
0,67;UMLS-CUIs
0,78;UMLS-CUIs
0,56;UMLS-CUIs
0,63;UMLS-CUIs
0,84;UMLS-CUIs
0,33;UMLS-CUIs
0,47;UMLS-CUIs
0,80;UMLS-CUIs
0,77;UMLS-CUIs
0,58;UMLS-CUIs
0,62;UMLS-CUIs
0,84;UMLS-CUIs
0,79;UMLS-CUIs
0,81;UMLS-CUIs
0,36;UMLS-CUIs
0,90;UMLS-CUIs
0,58;UMLS-CUIs
0,60;UMLS-CUIs
0,58;UMLS-CUIs
0,52;UMLS-CUIs
0,66;UMLS-CUIs
0,55;UMLS-CUIs
0,75;UMLS-CUIs
0,00;UMLS-CUIs
0,93;UMLS-CUIs
0,75;UMLS-CUIs
0,45;UMLS-CUIs
0,61;UMLS-CUIs
0,50;UMLS-CUIs
0,74;UMLS-CUIs
0,70;UMLS-CUIs
0,57;UMLS-CUIs
0,78;UMLS-CUIs
0,74;UMLS-CUIs
0,81;UMLS-CUIs
0,70;UMLS-CUIs
0,56;UMLS-CUIs
0,64;UMLS-CUIs
0,85;UMLS-CUIs
0,88;UMLS-CUIs
0,64;UMLS-CUIs
0,58;UMLS-CUIs
0,88;UMLS-CUIs
0,81;UMLS-CUIs
0,60;UMLS-CUIs
0,77;UMLS-CUIs
0,70;UMLS-CUIs
0,52;UMLS-CUIs
0,45;UMLS-CUIs
0,61;UMLS-CUIs
0,53;UMLS-CUIs
0,70;UMLS-CUIs
0,73;UMLS-CUIs
0,65;UMLS-CUIs
0,60;UMLS-CUIs
0,47;UMLS-CUIs
0,33;UMLS-CUIs
0,60;UMLS-CUIs
0,60;UMLS-CUIs
0,67;UMLS-CUIs
0,77;UMLS-CUIs
0,60;UMLS-CUIs
0,45;UMLS-CUIs
0,60;UMLS-CUIs
0,27;UMLS-CUIs
0,57;UMLS-CUIs
0,72;UMLS-CUIs
0,46;UMLS-CUIs
0,93;UMLS-CUIs
0,90;UMLS-CUIs
0,55;UMLS-CUIs
0,62;UMLS-CUIs
0,39;UMLS-CUIs
0,85;UMLS-CUIs
0,80;UMLS-CUIs
0,71;UMLS-CUIs
0,53;UMLS-CUIs
0,32;UMLS-CUIs
0,87;UMLS-CUIs
0,50;UMLS-CUIs
0,81;UMLS-CUIs
0,87;UMLS-CUIs
0,80;UMLS-CUIs
0,67;UMLS-CUIs
0,76;UMLS-CUIs
0,78;UMLS-CUIs
0,60;UMLS-CUIs
0,37;UMLS-CUIs
0,75;UMLS-CUIs
0,74;UMLS-CUIs
0,72;UMLS-CUIs
0,65;UMLS-CUIs
0,68;UMLS-CUIs
0,54;UMLS-CUIs
0,93;UMLS-CUIs
0,29;UMLS-CUIs
0,50;UMLS-CUIs
0,72;UMLS-CUIs
0,79;UMLS-CUIs
0,67;UMLS-CUIs
0,56;UMLS-CUIs
0,76;UMLS-CUIs
0,60;UMLS-CUIs
0,57;UMLS-CUIs
0,80;UMLS-CUIs
0,55;UMLS-CUIs
0,75;UMLS-CUIs
0,67;UMLS-CUIs
0,62;UMLS-CUIs
0,67;UMLS-CUIs
0,93;UMLS-CUIs
0,53;UMLS-CUIs
0,70;UMLS-CUIs
0,78;UMLS-CUIs
0,60;UMLS-CUIs
0,81;UMLS-CUIs
0,78;UMLS-CUIs
0,60;UMLS-CUIs
0,51;UMLS-CUIs
0,49;UMLS-CUIs
0,62;UMLS-CUIs
0,67;UMLS-CUIs
0,92;UMLS-CUIs
0,90;UMLS-CUIs
0,81;UMLS-CUIs
0,65;UMLS-CUIs
0,70;UMLS-CUIs
0,65;UMLS-CUIs
0,67;UMLS-CUIs
0,88;UMLS-CUIs
0,60;UMLS-CUIs
0,65;UMLS-CUIs
0,47;UMLS-CUIs
0,53;UMLS-CUIs
0,78;UMLS-CUIs
0,72;UMLS-CUIs
0,58;UMLS-CUIs
0,38;UMLS-CUIs
0,80;UMLS-CUIs
0,57;UMLS-CUIs
0,82;UMLS-CUIs
0,40;UMLS-CUIs
0,77;UMLS-CUIs
0,60;UMLS-CUIs
0,57;UMLS-CUIs
0,40;UMLS-CUIs
0,61;UMLS-CUIs
0,78;UMLS-CUIs
0,78;UMLS-CUIs
0,49;UMLS-CUIs
0,44;UMLS-CUIs
0,44;UMLS-CUIs
0,87;UMLS-CUIs
0,60;UMLS-CUIs
0,85;UMLS-CUIs
0,75;UMLS-CUIs
0,78;UMLS-CUIs
0,84;UMLS-CUIs
0,28;UMLS-CUIs
0,50;UMLS-CUIs
0,40;UMLS-CUIs
0,77;UMLS-CUIs
0,70;UMLS-CUIs
0,65;UMLS-CUIs
0,51;UMLS-CUIs
0,83;UMLS-CUIs
0,60;UMLS-CUIs
0,88;UMLS-CUIs
0,61;UMLS-CUIs
0,61;UMLS-CUIs
0,64;UMLS-CUIs
0,77;UMLS-CUIs
0,67;UMLS-CUIs
0,74;UMLS-CUIs
0,63;UMLS-CUIs
0,56;UMLS-CUIs
0,38;UMLS-CUIs
0,77;UMLS-CUIs
0,56;UMLS-CUIs
0,20;UMLS-CUIs
0,89;UMLS-CUIs
0,63;UMLS-CUIs
0,88;UMLS-CUIs
0,87;UMLS-CUIs
0,80;UMLS-CUIs
0,55;UMLS-CUIs
0,60;UMLS-CUIs
0,73;UMLS-CUIs
0,81;UMLS-CUIs
0,60;UMLS-CUIs
0,71;UMLS-CUIs
0,70;UMLS-CUIs
0,70;UMLS-CUIs
0,65;UMLS-CUIs
0,78;UMLS-CUIs
0,70;UMLS-CUIs
0,40;UMLS-CUIs
0,88;UMLS-CUIs
0,50;UMLS-CUIs
0,60;UMLS-CUIs
0,63;UMLS-CUIs
0,75;UMLS-CUIs
0,63;UMLS-CUIs
0,80;UMLS-CUIs
0,92;UMLS-CUIs
0,65;UMLS-CUIs
0,65;UMLS-CUIs
0,69;UMLS-CUIs
0,86;UMLS-CUIs
0,73;UMLS-CUIs
0,79;UMLS-CUIs
0,53;UMLS-CUIs
0,52;UMLS-CUIs
0,87;UMLS-CUIs
0,53;UMLS-CUIs
0,48;UMLS-CUIs
0,67;UMLS-CUIs
0,72;UMLS-Full
0,78;UMLS-Full
0,53;UMLS-Full
0,59;UMLS-Full
0,65;UMLS-Full
0,20;UMLS-Full
0,75;UMLS-Full
0,50;UMLS-Full
0,25;UMLS-Full
0,79;UMLS-Full
0,68;UMLS-Full
0,77;UMLS-Full
0,69;UMLS-Full
0,46;UMLS-Full
0,54;UMLS-Full
0,25;UMLS-Full
0,67;UMLS-Full
0,46;UMLS-Full
0,79;UMLS-Full
0,85;UMLS-Full
0,00;UMLS-Full
0,67;UMLS-Full
0,53;UMLS-Full
0,40;UMLS-Full
0,67;UMLS-Full
0,53;UMLS-Full
0,87;UMLS-Full
0,55;UMLS-Full
0,60;UMLS-Full
0,28;UMLS-Full
0,69;UMLS-Full
0,70;UMLS-Full
0,45;UMLS-Full
0,47;UMLS-Full
0,61;UMLS-Full
0,20;UMLS-Full
0,45;UMLS-Full
0,67;UMLS-Full
0,62;UMLS-Full
0,65;UMLS-Full
0,55;UMLS-Full
0,85;UMLS-Full
0,25;UMLS-Full
0,20;UMLS-Full
0,93;UMLS-Full
0,78;UMLS-Full
0,33;UMLS-Full
0,32;UMLS-Full
0,90;UMLS-Full
0,83;UMLS-Full
0,68;UMLS-Full
0,59;UMLS-Full
0,77;UMLS-Full
0,75;UMLS-Full
0,84;UMLS-Full
0,67;UMLS-Full
0,20;UMLS-Full
0,65;UMLS-Full
0,25;UMLS-Full
0,79;UMLS-Full
0,67;UMLS-Full
0,76;UMLS-Full
0,73;UMLS-Full
0,58;UMLS-Full
0,19;UMLS-Full
0,77;UMLS-Full
0,72;UMLS-Full
0,72;UMLS-Full
0,68;UMLS-Full
0,68;UMLS-Full
0,62;UMLS-Full
0,41;UMLS-Full
0,31;UMLS-Full
0,80;UMLS-Full
0,54;UMLS-Full
0,79;UMLS-Full
0,56;UMLS-Full
0,55;UMLS-Full
0,79;UMLS-Full
0,79;UMLS-Full
0,60;UMLS-Full
0,44;UMLS-Full
0,74;UMLS-Full
0,87;UMLS-Full
0,68;UMLS-Full
0,94;UMLS-Full
0,45;UMLS-Full
0,72;UMLS-Full
0,49;UMLS-Full
0,40;UMLS-Full
0,75;UMLS-Full
0,47;UMLS-Full
0,52;UMLS-Full
0,64;UMLS-Full
0,44;UMLS-Full
0,38;UMLS-Full
0,61;UMLS-Full
0,72;UMLS-Full
0,67;UMLS-Full
0,65;UMLS-Full
0,65;UMLS-Full
0,70;UMLS-Full
0,30;UMLS-Full
0,30;UMLS-Full
0,88;UMLS-Full
0,60;UMLS-Full
0,77;UMLS-Full
0,67;UMLS-Full
0,77;UMLS-Full
0,61;UMLS-Full
0,57;UMLS-Full
0,00;UMLS-Full
0,90;UMLS-Full
0,64;UMLS-Full
0,87;UMLS-Full
0,45;UMLS-Full
0,74;UMLS-Full
0,44;UMLS-Full
0,89;UMLS-Full
0,71;UMLS-Full
0,50;UMLS-Full
0,68;UMLS-Full
0,70;UMLS-Full
0,71;UMLS-Full
0,58;UMLS-Full
0,68;UMLS-Full
0,69;UMLS-Full
0,84;UMLS-Full
0,62;UMLS-Full
0,30;UMLS-Full
0,55;UMLS-Full
0,22;UMLS-Full
0,82;UMLS-Full
0,61;UMLS-Full
0,73;UMLS-Full
0,35;UMLS-Full
0,71;UMLS-Full
0,70;UMLS-Full
0,78;UMLS-Full
0,00;UMLS-Full
0,78;UMLS-Full
0,58;UMLS-Full
0,73;UMLS-Full
0,28;UMLS-Full
0,80;UMLS-Full
0,47;UMLS-Full
0,45;UMLS-Full
0,53;UMLS-Full
0,53;UMLS-Full
0,35;UMLS-Full
0,82;UMLS-Full
0,77;UMLS-Full
0,90;UMLS-Full
0,71;UMLS-Full
0,52;UMLS-Full
0,67;UMLS-Full
0,73;UMLS-Full
0,40;UMLS-Full
0,79;UMLS-Full
0,79;UMLS-Full
0,60;UMLS-Full
0,57;UMLS-Full
0,60;UMLS-Full
0,57;UMLS-Full
0,70;UMLS-Full
0,36;UMLS-Full
0,38;UMLS-Full
0,85;UMLS-Full
0,93;UMLS-Full
0,47;UMLS-Full
0,59;UMLS-Full
0,64;UMLS-Full
0,88;UMLS-Full
0,39;UMLS-Full
0,78;UMLS-Full
0,42;UMLS-Full
0,85;UMLS-Full
0,76;UMLS-Full
0,80;UMLS-Full
0,52;UMLS-Full
0,48;UMLS-Full
0,67;UMLS-Full
0,44;UMLS-Full
0,55;UMLS-Full
0,71;UMLS-Full
0,65;UMLS-Full
0,78;UMLS-Full
0,53;UMLS-Full
0,80;UMLS-Full
0,36;UMLS-Full
0,59;UMLS-Full
0,68;UMLS-Full
0,67;UMLS-Full
0,46;UMLS-Full
0,93;UMLS-Full
0,80;UMLS-Full
0,84;UMLS-Full
0,60;UMLS-Full
0,67;UMLS-Full
0,60;UMLS-Full
0,60;UMLS-Full
0,60;UMLS-Full
0,72;UMLS-Full
0,63;UMLS-Full
0,93;UMLS-Full
0,82;UMLS-Full
0,75;UMLS-Full
0,79;UMLS-Full
0,87;UMLS-Full
0,56;UMLS-Full
0,73;UMLS-Full
0,75;UMLS-Full
0,66;UMLS-Full
0,79;UMLS-Full
0,90;UMLS-Full
0,78;UMLS-Full
0,92;UMLS-Full
0,65;UMLS-Full
0,75;UMLS-Full
0,88;UMLS-Full
0,65;UMLS-Full
0,86;UMLS-Full
0,35;UMLS-Full
0,70;UMLS-Full
0,80;UMLS-Full
0,36;UMLS-Full
0,87;UMLS-Full
0,80;UMLS-Full
0,75;UMLS-Full
0,64;UMLS-Full
0,42;UMLS-Full
0,67;UMLS-Full
0,45;UMLS-Full
0,77;UMLS-Full
0,75;UMLS-Full
0,70;UMLS-Full
0,78;UMLS-Full
0,72;UMLS-Full
0,74;UMLS-Full
0,85;UMLS-Full
0,93;UMLS-Full
0,70;UMLS-Full
0,87;UMLS-Full
0,85;UMLS-Full
0,70;UMLS-Full
0,82;UMLS-Full
0,75;UMLS-Full
0,60;UMLS-Full
0,91;UMLS-Full
0,83;UMLS-Full
0,76;UMLS-Full
0,88;UMLS-Full
0,73;UMLS-Full
0,55;UMLS-Full
0,49;UMLS-Full
0,85;UMLS-Full
0,48;UMLS-Full
0,67;UMLS-Full
0,90;UMLS-Full
0,35;UMLS-Full
0,64;UMLS-Full
0,68;UMLS-Full
0,69;UMLS-Full
0,49;UMLS-Full
0,50;UMLS-Full
0,47;UMLS-Full
0,87;UMLS-Full
0,85;UMLS-Full
0,41;UMLS-Full
0,72;UMLS-Full
0,70;UMLS-Full
0,55;UMLS-Full
0,60;UMLS-Full
0,57;UMLS-Full
0,52;UMLS-Full
0,79;UMLS-Full
0,82;UMLS-Full
0,72;UMLS-Full
0,00;UMLS-Full
0,60;UMLS-Full
0,79;UMLS-Full
0,65;UMLS-Full
0,73;UMLS-Full
0,66;UMLS-Full
0,60;UMLS-Full
0,70;UMLS-Full
0,81;UMLS-Full
0,59;UMLS-Full
0,67;UMLS-Full
0,78;UMLS-Full
0,56;UMLS-Full
0,63;UMLS-Full
0,84;UMLS-Full
0,33;UMLS-Full
0,47;UMLS-Full
0,60;UMLS-Full
0,77;UMLS-Full
0,58;UMLS-Full
0,66;UMLS-Full
0,67;UMLS-Full
0,79;UMLS-Full
0,81;UMLS-Full
0,36;UMLS-Full
0,90;UMLS-Full
0,58;UMLS-Full
0,60;UMLS-Full
0,58;UMLS-Full
0,52;UMLS-Full
0,66;UMLS-Full
0,52;UMLS-Full
0,75;UMLS-Full
0,00;UMLS-Full
0,93;UMLS-Full
0,75;UMLS-Full
0,45;UMLS-Full
0,61;UMLS-Full
0,50;UMLS-Full
0,80;UMLS-Full
0,65;UMLS-Full
0,57;UMLS-Full
0,78;UMLS-Full
0,74;UMLS-Full
0,81;UMLS-Full
0,70;UMLS-Full
0,56;UMLS-Full
0,62;UMLS-Full
0,85;UMLS-Full
0,88;UMLS-Full
0,64;UMLS-Full
0,58;UMLS-Full
0,88;UMLS-Full
0,81;UMLS-Full
0,60;UMLS-Full
0,77;UMLS-Full
0,70;UMLS-Full
0,25;UMLS-Full
0,45;UMLS-Full
0,61;UMLS-Full
0,53;UMLS-Full
0,70;UMLS-Full
0,73;UMLS-Full
0,65;UMLS-Full
0,60;UMLS-Full
0,47;UMLS-Full
0,33;UMLS-Full
0,60;UMLS-Full
0,60;UMLS-Full
0,60;UMLS-Full
0,80;UMLS-Full
0,60;UMLS-Full
0,45;UMLS-Full
0,62;UMLS-Full
0,27;UMLS-Full
0,57;UMLS-Full
0,72;UMLS-Full
0,66;UMLS-Full
0,93;UMLS-Full
0,70;UMLS-Full
0,53;UMLS-Full
0,58;UMLS-Full
0,39;UMLS-Full
0,67;UMLS-Full
0,75;UMLS-Full
0,71;UMLS-Full
0,53;UMLS-Full
0,36;UMLS-Full
0,93;UMLS-Full
0,50;UMLS-Full
0,81;UMLS-Full
0,87;UMLS-Full
0,80;UMLS-Full
0,67;UMLS-Full
0,76;UMLS-Full
0,78;UMLS-Full
0,60;UMLS-Full
0,37;UMLS-Full
0,90;UMLS-Full
0,74;UMLS-Full
0,72;UMLS-Full
0,67;UMLS-Full
0,52;UMLS-Full
0,54;UMLS-Full
0,84;UMLS-Full
0,62;UMLS-Full
0,50;UMLS-Full
0,72;UMLS-Full
0,79;UMLS-Full
0,67;UMLS-Full
0,56;UMLS-Full
0,71;UMLS-Full
0,60;UMLS-Full
0,70;UMLS-Full
0,80;UMLS-Full
0,59;UMLS-Full
0,68;UMLS-Full
0,67;UMLS-Full
0,57;UMLS-Full
0,89;UMLS-Full
0,93;UMLS-Full
0,53;UMLS-Full
0,70;UMLS-Full
0,78;UMLS-Full
0,60;UMLS-Full
0,69;UMLS-Full
0,78;UMLS-Full
0,60;UMLS-Full
0,51;UMLS-Full
0,56;UMLS-Full
0,62;UMLS-Full
0,67;UMLS-Full
0,92;UMLS-Full
0,90;UMLS-Full
0,81;UMLS-Full
0,55;UMLS-Full
0,70;UMLS-Full
0,65;UMLS-Full
0,67;UMLS-Full
0,90;UMLS-Full
0,62;UMLS-Full
0,65;UMLS-Full
0,47;UMLS-Full
0,33;UMLS-Full
0,78;UMLS-Full
0,67;UMLS-Full
0,78;UMLS-Full
0,38;UMLS-Full
0,80;UMLS-Full
0,57;UMLS-Full
0,82;UMLS-Full
0,20;UMLS-Full
0,77;UMLS-Full
0,60;UMLS-Full
0,57;UMLS-Full
0,40;UMLS-Full
0,61;UMLS-Full
0,78;UMLS-Full
0,78;UMLS-Full
0,53;UMLS-Full
0,44;UMLS-Full
0,44;UMLS-Full
0,87;UMLS-Full
0,60;UMLS-Full
0,85;UMLS-Full
0,75;UMLS-Full
0,78;UMLS-Full
0,84;UMLS-Full
0,28;UMLS-Full
0,50;UMLS-Full
0,40;UMLS-Full
0,78;UMLS-Full
0,70;UMLS-Full
0,78;UMLS-Full
0,56;UMLS-Full
0,83;UMLS-Full
0,60;UMLS-Full
0,88;UMLS-Full
0,63;UMLS-Full
0,80;UMLS-Full
0,64;UMLS-Full
0,72;UMLS-Full
0,67;UMLS-Full
0,61;UMLS-Full
0,63;UMLS-Full
0,56;UMLS-Full
0,38;UMLS-Full
0,77;UMLS-Full
0,56;UMLS-Full
0,47;UMLS-Full
0,89;UMLS-Full
0,63;UMLS-Full
0,88;UMLS-Full
0,87;UMLS-Full
0,80;UMLS-Full
0,55;UMLS-Full
0,73;UMLS-Full
0,73;UMLS-Full
0,81;UMLS-Full
0,87;UMLS-Full
0,66;UMLS-Full
0,70;UMLS-Full
0,70;UMLS-Full
0,65;UMLS-Full
0,78;UMLS-Full
0,70;UMLS-Full
0,20;UMLS-Full
0,82;UMLS-Full
0,50;UMLS-Full
0,60;UMLS-Full
0,63;UMLS-Full
0,75;UMLS-Full
0,63;UMLS-Full
0,80;UMLS-Full
0,92;UMLS-Full
0,64;UMLS-Full
0,50;UMLS-Full
0,69;UMLS-Full
0,81;UMLS-Full
0,73;UMLS-Full
0,61;UMLS-Full
0,52;UMLS-Full
0,52;UMLS-Full
0,87;UMLS-Full
0,53;UMLS-Full
0,67;UMLS-Full
0,67;UMLS-Full
